UKB Entry	SNOMED CT ID	SNOMED CT CONCEPT ID	SNOMED CT DESCRIPTION
disopyramide product	1234021017	76759004	disopyramide product
disulfiram product	492117019	39516004	disulfiram product
dithranol 0.2% ointment bp	468699016	332229003	dithranol 0.2% ointment bp
dithranol+salicylic acid 0.25%/1.6% scalp gel	468663014	332138008	dithranol+salicylic acid 0.25%/1.6% scalp gel
dithranol+salicylic acid+coal tar 0.11%/1.6%/1% ointment	468664015	332139000	dithranol+salicylic acid+coal tar 0.11%/1.6%/1% ointment
diuretic	51025011	30492008	diuretic
dorzolamide+timolol	468097018	330733003	dorzolamide+timolol
dothiepin	471811011	349856007	dothiepin
doxepin hydrochloride 5% cream	468518015	331643002	doxepin hydrochloride 5% cream
ecothiopate	1232119014	60682004	ecothiopate
eformoterol	463161010	320260000	eformoterol
ehdp - etidronate disodium	1235970010	96285005	ehdp - etidronate disodium
emollient product	1230569017	48279009	emollient product
enalapril maleate+hydrochlorothiazide 20mg/12.5mg tablet	462515012	318849001	enalapril maleate+hydrochlorothiazide 20mg/12.5mg tablet
epeg - etoposide	1231661019	56928005	epeg - etoposide
epinephrine	130895016	78890004	epinephrine
epinephrine eye drops	1773995013	349936005	epinephrine eye drops
epoetin alfa product	1219448015	108964008	epoetin alfa product
eptastatin	1235976016	96305006	eptastatin
ergocalciferol product	1233397014	71516007	ergocalciferol product
ergot alkaloid product	472306019	350623006	ergot alkaloid product
ergotamine tartrate+caffeine 1mg/100mg tablet	464603016	322793003	ergotamine tartrate+caffeine 1mg/100mg tablet
erynite	1219049019	10422008	erynite
erythromycin product	1227237019	30427009	erythromycin product
erythromycin+tretinoin 4%/0.025% topical solution	468770016	332355000	erythromycin+tretinoin 4%/0.025% topical solution
erythromycin+zinc acetate 40mg/12mg/ml topical solution	468766012	332347007	erythromycin+zinc acetate 40mg/12mg/ml topical solution
erythropoietin product	467030015	327705006	erythropoietin product
eserine	141601013	85429009	eserine
eserine sulphate 1.0% eye drops	470936010	347124008	eserine sulphate 1.0% eye drops
estradiol product	1217506016	12839006	estradiol product
estradiol+norethisterone acetate 1mg/0.5mg tablet	465985018	325662001	estradiol+norethisterone acetate 1mg/0.5mg tablet
estriol product	472814017	354050008	estriol product
etacrynic acid product	2478868011	81947000	etacrynic acid product
ethacrynate sodium	125127013	75341007	ethacrynate sodium
ethacrynic acid	135933013	81947000	ethacrynic acid
ethacrynic acid product	1234664011	81947000	ethacrynic acid product
ethambutol hcl+isoniazid	470587017	346420002	ethambutol hcl+isoniazid
ethambutolol	1223454012	24450004	ethambutolol
ethamsylate	1227894015	319848004	ethamsylate
ethamsylate product	462917012	319848004	ethamsylate product
ethinylestradiol product	1217545014	15432003	ethinylestradiol product
ethinylestradiol+gestodene 20micrograms/75micrograms tablet	466346014	326361006	ethinylestradiol+gestodene 20micrograms/75micrograms tablet
ethinylnortestosterone	1232501013	63758001	ethinylnortestosterone
ethinyloestradiol	1216040019	15432003	ethinyloestradiol
ethinyloestradiol product	1216041015	15432003	ethinyloestradiol product
ethynodiol diacetate	11362018	126105006	ethynodiol diacetate
etoposide product	1231660018	56928005	etoposide product
etynodiol diacetate	2475422019	116072006	etynodiol diacetate
expulin s/f linctus	463598019	321010006	expulin s/f linctus
famciclovir product	1235960013	96097002	famciclovir product
felodipine+ramipril	462188010	318173007	felodipine+ramipril
fenopraine	1235972019	96300001	fenopraine
fentanyl product	1229663013	40648001	fentanyl product
ferrous salt product	472243015	350553008	ferrous salt product
feso4 - ferrous sulphate	1216891015	71724000	feso4 - ferrous sulphate
flax oil tablet	467468011	329508001	flax oil tablet
flu - influenza vaccine	1230327015	46233009	flu - influenza vaccine
flucloxacillin product	1235957018	96067005	flucloxacillin product
fluconazole 150mg capsule + clotrimazole 2% cream	2536783015	410946005	fluconazole 150mg capsule + clotrimazole 2% cream
fluconazole product	1227875013	31865003	fluconazole product
fluocinolone acetonide+clioquinol 0.025%/3% cream	2159418015	407829003	fluocinolone acetonide+clioquinol 0.025%/3% cream
fluocinolone acetonide+clioquinol 0.025%/3% ointment	2159419011	407830008	fluocinolone acetonide+clioquinol 0.025%/3% ointment
fluocinolone acetonide+neomycin sulphate 0.025%/0.5% cream	2154186019	407831007	fluocinolone acetonide+neomycin sulphate 0.025%/0.5% cream
flupenthixol	159294010	96220002	flupenthixol
flurandrenolone	501891011	71455005	flurandrenolone
folate product	1232337016	6247001	folate product
folic acid product	1232338014	6247001	folic acid product
folinic acid product	1221173014	1528001	folinic acid product
fructose powder	467140019	328299009	fructose powder
frusemide	135371013	81609008	frusemide
frusemide+potassium 20mg/10mmol m/r tablet	462185013	318169009	frusemide+potassium 20mg/10mmol m/r tablet
fusidate sodium	1235955014	96015006	fusidate sodium
ganciclovir product	1234201011	78025001	ganciclovir product
garlic product	467469015	329509009	garlic product
gastric mucin 3.5% (porcine) spray	468395017	331336002	gastric mucin 3.5% (porcine) spray
gemfibrozil product	1228266018	35282000	gemfibrozil product
gentamicin product	1231761011	57752001	gentamicin product
gentamicin+hydrocortisone acetate 0.3%/1% ear drops	468222014	330936001	gentamicin+hydrocortisone acetate 0.3%/1% ear drops
gestronol	472182012	350371000	gestronol
ginseng product	467470019	329511000	ginseng product
glipizide product	1224976018	26124005	glipizide product
glucagon product	1208622017	10712001	glucagon product
gluco-lyte	472267011	350580001	gluco-lyte
glucose product	1219596017	111138002	glucose product
glutamic acid product	1229843016	42271003	glutamic acid product
glybenclamide	134139019	80870001	glybenclamide
glycerol suppository	472510015	353604003	glycerol suppository
glyceryl trinitrate patch	472928012	356358008	glyceryl trinitrate patch
glyceryl trinitrate product	1233417012	71759000	glyceryl trinitrate product
glyclizide	465762010	325238000	glyclizide
glycopyrrolate	37215014	22168005	glycopyrrolate
gnrh - gonadotrophin-releasing hormone product	466137014	325995009	gnrh - gonadotrophin-releasing hormone product
gold product	1230789018	49860008	gold product
gold sodium thiomalate	114112019	68702006	gold sodium thiomalate
gonadotrophin-releasing hormone product	466138016	325995009	gonadotrophin-releasing hormone product
goserelin product	473627013	126138002	goserelin product
granisetron product	1219401017	108424001	granisetron product
grepafloxacin product	1219419014	108679003	grepafloxacin product
growth hormone product	497548013	56234005	growth hormone product
gtn - glyceryl trinitrate	1233418019	71759000	gtn - glyceryl trinitrate
gtn - glyceryl trinitrate patch	472927019	356358008	gtn - glyceryl trinitrate patch
guanethidine eye drops	472290018	350605003	guanethidine eye drops
guanethidine monosulphate+adrenaline 0.25%/0.05% eye drops	470964017	347148004	guanethidine monosulphate+adrenaline 0.25%/0.05% eye drops
guar flour	465782014	325281002	guar flour
halibut-liver oil capsule	1225153014	2701006	halibut-liver oil capsule
hamamelis + zinc oxide suppository	461981018	317656006	hamamelis + zinc oxide suppository
hamamelis 200mg suppository	461980017	317655005	hamamelis 200mg suppository
hamamelis water product	2162395017	400611009	hamamelis water product
hc - hydrocortisone	477859015	16602005	hc - hydrocortisone
heparinoid+salicylic acid 0.2%/2% cream	470875019	346983006	heparinoid+salicylic acid 0.2%/2% cream
heparinoid+salicylic acid 0.2%/2% gel	471049014	347340000	heparinoid+salicylic acid 0.2%/2% gel
heroin	101158013	60881009	heroin
hexamidinum	1230421018	47120002	hexamidinum
hexamine hippurate	465424013	324575000	hexamine hippurate
human interferon gamma-1b	1219423018	108747001	human interferon gamma-1b
human luteinising hormone product	1476289018	391870009	human luteinising hormone product
hydantoin	26102014	15389000	hydantoin
hydrocortisone acetate+neomycin sulphate 1.5%/0.5% eye drops	472996017	356721005	hydrocortisone acetate+neomycin sulphate 1.5%/0.5% eye drops
hydrocortisone product	477860013	16602005	hydrocortisone product
hydrocortisone+chlorquinaldol	470647018	346498001	hydrocortisone+chlorquinaldol
hydrocortisone+clioquinol	470649015	346500000	hydrocortisone+clioquinol
hydrocortisone+clotrimazole	470650015	346501001	hydrocortisone+clotrimazole
hydrocortisone+crotamiton	470651016	346502008	hydrocortisone+crotamiton
hydrocortisone+dimeticone '350'	2476642012	346503003	hydrocortisone+dimeticone '350'
hydrocortisone+econazole	470653018	346504009	hydrocortisone+econazole
hydrocortisone+fusidic acid	470643019	346494004	hydrocortisone+fusidic acid
hydrocortisone+gentamicin	470644013	346495003	hydrocortisone+gentamicin
hydrocortisone+lidocaine	1773973014	346505005	hydrocortisone+lidocaine
hydrocortisone+lignocaine	470654012	346505005	hydrocortisone+lignocaine
hydrocortisone+miconazole	470655013	346506006	hydrocortisone+miconazole
hydrocortisone+neomycin	470656014	346507002	hydrocortisone+neomycin
hydrocortisone+oxytetracycline	470658010	346509004	hydrocortisone+oxytetracycline
hydrocortisone+potassium hydroxyquinoline	470659019	346510009	hydrocortisone+potassium hydroxyquinoline
hydrocortisone+pramocaine	2476641017	346496002	hydrocortisone+pramocaine
hydrocortisone+pramoxine	470645014	346496002	hydrocortisone+pramoxine
hydrocortisone+sodium fusidate	470646010	346497006	hydrocortisone+sodium fusidate
hydrocortisone+urea	470660012	346511008	hydrocortisone+urea
hydroquinone product	1233763017	74583006	hydroquinone product
hydrous wool fat+zinc oxide 4/8% cream	468462010	331506007	hydrous wool fat+zinc oxide 4/8% cream
hydroxocobalamin product	1227994016	327529002	hydroxocobalamin product
hydroxycholecalciferol	467377017	329325000	hydroxycholecalciferol
hydroxyphenylbutazone	1230696013	49267000	hydroxyphenylbutazone
hydroxypropylmethylcellulose	470662016	346513006	hydroxypropylmethylcellulose
hydroxyurea	94129011	56602009	hydroxyurea
hyoscine product	495251018	48899009	hyoscine product
hypotonic artificial tears eye drops	470977014	347160003	hypotonic artificial tears eye drops
hypromellose product	468122016	330769006	hypromellose product
hypromellose+phenylephrine	470663014	346514000	hypromellose+phenylephrine
ibuprofen product	484098012	363606004	ibuprofen product
ibuprofen+codeine phosphate	470664015	346519005	ibuprofen+codeine phosphate
ibuprofen+menthol 5%/3% gel	472514012	353615008	ibuprofen+menthol 5%/3% gel
ibuprofen+pseudoephedrine hydrochloride	1489023019	395333001	ibuprofen+pseudoephedrine hydrochloride
idoxuridine (in dimethylsulphoxide) 5% application	469002012	333027004	idoxuridine (in dimethylsulphoxide) 5% application
immune interferon	1219422011	108747001	immune interferon
ina - isoniazid	1234578017	81335000	ina - isoniazid
inah - isoniazid	1234577010	81335000	inah - isoniazid
indian tragacanth	493245014	42259009	indian tragacanth
indometacin product	484099016	363607008	indometacin product
indomethacin	99924017	60149003	indomethacin
indomethacin product	484100012	363607008	indomethacin product
indoramin product	471872012	349913001	indoramin product
inositol product	1219446016	108960004	inositol product
insulin product	492099018	39487003	insulin product
interferon beta-1b product	1219425013	108751004	interferon beta-1b product
interferons	466762017	327132009	interferons
ipecacuanha+morphine mixture	463580018	320988003	ipecacuanha+morphine mixture
irbesartan+hydrochlorothiazide 150mg/12.5mg tablet	216265016	134461004	irbesartan+hydrochlorothiazide 150mg/12.5mg tablet
iron product	472242013	350552003	iron product
iron sulphate	1216890019	71724000	iron sulphate
iron+folic acid	466931014	327452001	iron+folic acid
isdn - isosorbide dinitrate	1231933011	5924003	isdn - isosorbide dinitrate
ismn - isosorbide mononitrate	1219402012	108484003	ismn - isosorbide mononitrate
ismo - isosorbide mononitrate	1219404013	108484003	ismo - isosorbide mononitrate
isocaramidine	472287012	350602000	isocaramidine
isoetharine hydrochloride	110509017	66512007	isoetharine hydrochloride
isometheptene mucate+paracetamol 65mg/325mg capsule	464605011	322804009	isometheptene mucate+paracetamol 65mg/325mg capsule
isosorbide mononitrate product	1219403019	108484003	isosorbide mononitrate product
isosorbide mononitrate+aspirin	462679019	319357003	isosorbide mononitrate+aspirin
isotretinoin+erythromycin 0.05%/2% gel	468776010	332366007	isotretinoin+erythromycin 0.05%/2% gel
ispaghula husk product	472786019	354033006	ispaghula husk product
itraconazole 100mg capsule	465492019	324712008	itraconazole 100mg capsule
itraconazole 10mg/ml s/f oral solution	465493012	324715005	itraconazole 10mg/ml s/f oral solution
itraconazole 250mg/25ml infusion concentrate	216308019	134563003	itraconazole 250mg/25ml infusion concentrate
jaguar gum	465783016	325281002	jaguar gum
kanamycin	118705014	71451001	kanamycin
kanamycin product	1233391010	71451001	kanamycin product
kaolin product	471758013	349807006	kaolin product
kaolin+morphine	470686019	346543008	kaolin+morphine
karaya	70511013	42259009	karaya
kelp+garlic product	467471015	329514008	kelp+garlic product
ketoconazole 2% shampoo	468881010	332745002	ketoconazole 2% shampoo
ketoconazole 200mg tablet	465476012	324676009	ketoconazole 200mg tablet
l-carnitine product	467453010	329486002	l-carnitine product
l-dopa - levodopa	477342018	15383004	l-dopa - levodopa
lactulose product	1219595018	111137007	lactulose product
lamivudine+zidovudine	465583019	324859007	lamivudine+zidovudine
latanoprost+timolol	1485662018	391662001	latanoprost+timolol
laxative	102386013	61621000	laxative
lecithin product	467472010	329515009	lecithin product
levacetylmethadol hydrochloride	464522015	322698001	levacetylmethadol hydrochloride
levocabastine product	1219440010	108863001	levocabastine product
levonorgestrel product	333224018	109032009	levonorgestrel product
levothyroxine sodium	32188019	126202002	levothyroxine sodium
lh-rh - gonadotrophin-releasing hormone	466136017	325995009	lh-rh - gonadotrophin-releasing hormone
lipid lowering drug	498025010	57952007	lipid lowering drug
liquid paraffin product	472789014	354035004	liquid paraffin product
liquid paraffin+white soft paraffin 50%/50% ointment	468429019	331384006	liquid paraffin+white soft paraffin 50%/50% ointment
lisinopril+hydrochlorothiazide 10mg/12.5mg tablet	462525019	318884002	lisinopril+hydrochlorothiazide 10mg/12.5mg tablet
lithium product	463972018	321719003	lithium product
lithium succinate 8% cream	468890015	332762007	lithium succinate 8% cream
lithium succinate 8% ointment	468889012	332760004	lithium succinate 8% ointment
loperamide hydrochloride+simethicone	461824010	317383002	loperamide hydrochloride+simethicone
